Method,Type,Region,Class,n,Mean,Median,Std,Min,Max
ddG_saafecseq_seq,Sequence,Full,Benign,20,-0.948,-0.755,0.618,-2.9,-0.3
ddG_saafecseq_seq,Sequence,Full,Pathogenic,9,-1.341,-1.25,0.732,-2.61,-0.35
ddg_imutant2_seq,Sequence,Full,Benign,20,-0.8,-0.72,1.022,-3.57,0.61
ddg_imutant2_seq,Sequence,Full,Pathogenic,9,-1.332,-1.28,0.672,-2.32,-0.03
ddg_inps_seq,Sequence,Full,Benign,20,-0.672,-0.63,0.662,-2.81,0.18
ddg_inps_seq,Sequence,Full,Pathogenic,9,-0.978,-0.82,0.94,-2.85,0.29
ddg_ddgun_seq,Sequence,Full,Benign,20,0.005,0.0,0.022,0.0,0.1
ddg_ddgun_seq,Sequence,Full,Pathogenic,9,-0.889,-0.5,1.075,-2.3,0.8
ddg_ddgemb_seq,Sequence,Full,Benign,20,-0.114,-0.105,0.46,-0.93,0.78
ddg_ddgemb_seq,Sequence,Full,Pathogenic,9,-1.364,-1.38,0.909,-2.97,-0.1
ddG_saafecseq_seq,Sequence,Kinase,Benign,4,-0.87,-0.74,0.581,-1.64,-0.36
ddG_saafecseq_seq,Sequence,Kinase,Pathogenic,9,-1.341,-1.25,0.732,-2.61,-0.35
ddg_imutant2_seq,Sequence,Kinase,Benign,4,-0.183,-0.15,0.698,-1.04,0.61
ddg_imutant2_seq,Sequence,Kinase,Pathogenic,9,-1.332,-1.28,0.672,-2.32,-0.03
ddg_inps_seq,Sequence,Kinase,Benign,4,-0.335,-0.25,0.561,-1.01,0.17
ddg_inps_seq,Sequence,Kinase,Pathogenic,9,-0.978,-0.82,0.94,-2.85,0.29
ddg_ddgun_seq,Sequence,Kinase,Benign,4,0.025,0.0,0.05,0.0,0.1
ddg_ddgun_seq,Sequence,Kinase,Pathogenic,9,-0.889,-0.5,1.075,-2.3,0.8
ddg_ddgemb_seq,Sequence,Kinase,Benign,4,-0.03,-0.075,0.347,-0.4,0.43
ddg_ddgemb_seq,Sequence,Kinase,Pathogenic,9,-1.364,-1.38,0.909,-2.97,-0.1
ddg_imutant2_str,Structure,Full,Benign,4,0.002,0.02,0.225,-0.27,0.24
ddg_imutant2_str,Structure,Full,Pathogenic,9,-1.33,-1.4,1.175,-3.42,0.86
ddg_inps_str,Structure,Full,Benign,4,0.1,0.095,0.094,0.01,0.2
ddg_inps_str,Structure,Full,Pathogenic,9,-0.928,-0.69,0.854,-2.88,0.01
ddg_ddgun_str,Structure,Full,Benign,4,0.0,0.0,0.0,0.0,0.0
ddg_ddgun_str,Structure,Full,Pathogenic,9,-0.556,-0.4,1.127,-2.7,0.9
ddg_mcsm_str,Structure,Full,Benign,4,-0.258,-0.195,0.327,-0.675,0.031
ddg_mcsm_str,Structure,Full,Pathogenic,9,-1.025,-0.769,0.971,-3.195,0.111
ddg_ddmut_str,Structure,Full,Benign,4,0.083,0.08,0.038,0.04,0.13
ddg_ddmut_str,Structure,Full,Pathogenic,9,-0.692,-0.39,0.894,-2.25,0.16
ddg_imutant2_str,Structure,Kinase,Benign,4,0.002,0.02,0.225,-0.27,0.24
ddg_imutant2_str,Structure,Kinase,Pathogenic,9,-1.33,-1.4,1.175,-3.42,0.86
ddg_inps_str,Structure,Kinase,Benign,4,0.1,0.095,0.094,0.01,0.2
ddg_inps_str,Structure,Kinase,Pathogenic,9,-0.928,-0.69,0.854,-2.88,0.01
ddg_ddgun_str,Structure,Kinase,Benign,4,0.0,0.0,0.0,0.0,0.0
ddg_ddgun_str,Structure,Kinase,Pathogenic,9,-0.556,-0.4,1.127,-2.7,0.9
ddg_mcsm_str,Structure,Kinase,Benign,4,-0.258,-0.195,0.327,-0.675,0.031
ddg_mcsm_str,Structure,Kinase,Pathogenic,9,-1.025,-0.769,0.971,-3.195,0.111
ddg_ddmut_str,Structure,Kinase,Benign,4,0.083,0.08,0.038,0.04,0.13
ddg_ddmut_str,Structure,Kinase,Pathogenic,9,-0.692,-0.39,0.894,-2.25,0.16
